,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
1,Drake,"50,162,292,808","19,246,513,666",262,6,130,19.09.22
2,Bad Bunny,"44,369,032,140","5,391,990,975",163,5,118,20.09.22
3,Ed Sheeran,"38,153,682,361","2,791,278,201",240,10,62,19.09.22
4,The Weeknd,"34,767,779,741","4,288,903,657",186,8,72,19.09.22
5,Taylor Swift,"32,596,728,109","424,053,296",323,1,96,20.09.22
6,Justin Bieber,"32,465,998,885","10,816,202,075",225,6,58,20.09.22
7,Ariana Grande,"32,287,682,040","2,052,297,828",181,8,71,19.09.22
8,Eminem,"30,431,861,291","4,165,031,640",301,5,65,19.09.22
9,Post Malone,"29,832,277,109","2,728,018,288",98,9,57,19.09.22
10,BTS,"28,533,458,128","323,205,288",262,1,98,19.09.22
11,J Balvin,"25,892,190,469","9,950,347,777",242,3,66,19.09.22
12,Kanye West,"25,535,119,184","5,767,153,127",239,1,63,20.09.22
13,Billie Eilish,"23,684,986,780",0,65,4,47,20.09.22
14,Juice WRLD,"23,114,066,243","3,751,941,085",116,3,60,19.09.22
15,Coldplay,"22,214,835,214",0,299,5,34,20.09.22
16,Dua Lipa,"22,186,290,470","349,750,231",198,7,36,19.09.22
17,Imagine Dragons,"21,812,218,476","65,400,698",189,4,41,19.09.22
